编码,品名,规格
YL-BSKL-G330,百事可乐330ml,24罐/箱
YL-KKKL-G330,可口可乐330ml,24罐/箱
YL-XB-G330,雪碧330ml,24罐/箱
YL-MND-G330,美年达橙味330ml,24罐/箱
YL-KSFCZ-G310,康师傅每日C橙汁310ml,24罐/箱
YL-KSFPTZ-G310,康师傅每日C水晶葡萄汁310ml,24罐/箱
YL-WHNC-G340,午后奶茶340ml,24罐/箱
YL-ZHBCNK-G280,直火倍醇奶咖280ml,24罐/箱
YL-JLBDWJSMT-G320,健力宝第五季水蜜桃320ml,24罐/箱
YL-HNWSS-G250,红牛维生素饮料250ml,24罐/箱
YL-ZHTXMZ-G248,正鸿堂新米汁248ml,30罐/箱
YL-DLYHQZLC-G310,达利园和其正凉茶罐装310ml,24罐/箱
YL-DLYHSNN-G310,达利园冰糖花生牛奶310ml,12罐/箱
YL-DLYBBZ-G360,达利园八宝粥360g,12罐/箱
YL-RJMCP-G250,罐装日加满成品250ml,24罐/箱
YL-BSKL-P500,百事可乐500ml,24瓶/箱
YL-TWCZFMYZC-P500,天喔茶庄蜂蜜柚子茶500ml,15瓶/箱
YL-MD-P600,脉动600ml,15瓶/箱
YL-SDLLQNT-P500,三得利利趣拿铁500ml,15瓶/箱
YL-TYBHC-P500,统一冰红茶500ml,15瓶/箱
YL-RJMLSQN-P600,日加满力水运动饮料600ml（青柠）,15瓶/箱
YL-RJMLSSMT-P600,日加满力水运动饮料600ml（水蜜桃）,15瓶/箱
YL-RJMLSQPG-P600,日加满力水运动饮料600ml（青苹果）,15瓶/箱
YL-SDLWTWLC-P500,三得利无糖乌龙茶500ml,24瓶/箱
YL-TYWTLC-P500,统一绿茶(无糖)500ml,15瓶/箱
YL-SDLMXQY-P450,三得利蜜香清柚450ml,24瓶/箱
YL-TYMXMC-P500,统一茉香蜜茶500ml,15瓶/箱
YL-BLSSH-P550,冰露水森活纯净水550ml,24瓶/箱
YL-DLYHQZLC-P600,达利园和其正凉茶瓶装600ml,15瓶/箱
YL-DLYHSNN-P500,达利园花生牛奶500ml,15瓶//箱
YL-RJMCP-P120,日加满成品120ml,30瓶/箱
YL-RJMJYJYDBGWYP-P100,日加满娇源胶原蛋白果味饮品100ml,24瓶/箱
YL-RJMMYM-P120,日加满蔓越莓120ml,30瓶/箱
YL-TWSZTS-P360,炭卫士竹炭水360ml,15瓶/箱
YL-WDZTS-P380,味丹竹炭水380ml,24瓶/箱
YL-NFSQYYTRS-P550,农夫山泉饮用天然水550ml,24瓶/箱
YL-TYMXQC-P500,统一茉香清茶500ml,15瓶/箱
YL-GLC-P450,果粒橙420ml,24瓶/箱
YL-BLSSH-P350,冰露矿泉水350ml,24瓶/箱
YL-TYMGD-P450,统一芒果多450ml,15瓶/箱
YL-TYPTD-P450,统一葡萄多450ml,15瓶/箱
SP-XGG-B22,小乖乖22g,20包/120箱
SP-JDGB-B50,加蛋锅巴50g,80包/箱
SP-CYXB-B50,菜园小饼50g,40包/箱
SP-SHJ-B18,上好佳18g,100包/箱
SP-WWTD-B55,旺旺挑豆55g,32包/箱
SP-KSWHS-B36,口水娃多味花生36g,80包/箱
SP-SHYMC-B40,双汇玉米肠40g,60包/箱
SP-QD-B60,奇多60g,60包/箱
SP-LSSP-B15,乐事薯片15g,20包/120箱
SP-LSWXSP-B40,乐事无限薯片40g,36包/箱
SP-WZQQ-B70,旺仔QQ糖70g,10包/60箱
SP-LJKXT-T20,绿箭口香糖,20条/1200箱
SP-WGC-T20,维果C,20条/240箱
SP-HS-T20,荷氏,20条/240箱
SP-WWXB-B52,旺旺仙贝52g,20包/箱
SP-HCDYGB-B108,好吃点香脆腰果饼108g,40包/箱
SP-KZ-B60,可兹60g,24盒/箱
SP-ZYJNCM-B40,张君雅小妹妹捏碎面40g,30包/箱
SP-SLJ-B35,士力架35g,24条/192箱
SP-YYPJFZ-B100,有友泡椒凤爪100g,50包/箱
SP-RQKBL-B85,日清开杯乐杯面85g,12杯/箱
SP-LSZCST-B40,乐事真脆薯条40g,40杯/箱
SP-QCWH-T20,雀巢威化20g,24条/576箱
SP-KHSXP-B28,康辉酸杏脯28g,20包/300箱
SP-KHSM-B35,康辉酸梅35g,20包/300箱
SP-KHSMT-B30,康辉水蜜桃30g,20包/300箱
SP-KHHM-B16,康辉话梅16g,20包/300箱
SP-MLS-B25,梁丰麦丽素25g,48包/288箱
SP-ZYBDG-B96,中洋宝蛋糕96g,24包/箱
SP-BZYKC-B80,兵卒一口脆80g,30包/箱
SP-QCKF-T13,1+2雀巢咖啡13g,48条/576箱
SP-BQQKL-H60,百奇巧克力60g,36盒/箱
SP-LTP-H30,乐天派30g,9盒/72箱
SP-XBLLD-B25,乡巴佬卤蛋25g,150包/箱
SP-MMQKL-B40,MM巧克力40g,24包/240箱
SP-TSSQM-B40,台尚沙琪玛40g,40包/箱
SP-ZYFZ-B90,周义凤爪90g,50包/箱
SP-KSFSXB-B55,康师傅随心杯面55g,12杯/箱
SP-KSWLHD-B30,口水娃兰花豆30g,80包/箱
SP-GESGJX-B207,格尔水果夹心饼干207g,50包/箱
YL-BLKF-G240,伯朗咖啡240ml,24罐/箱
YL-KSFMLMC-P550,康师傅茉莉蜜茶550ml,15瓶/箱
YL-TYXSBJNC-P500,统一英式伯爵奶茶500ml,15瓶/箱
YL-QCYYS-P550,雀巢饮用水550ml,24瓶/箱
YL-KSFBHC-G310,康师傅冰红茶310ml,24罐/箱
YL-ZGHYQS-P600,正广和盐汽水600ml,24瓶/箱
YL-TWCZFMLC-P500,天喔茶庄蜂蜜绿茶500ml,12瓶/箱
